misc\bank.als; 22; 2; 1; 5
misc\bankOneBranch.als; 11; 2; 1; 2
misc\bankSomeBranch.als; 7; 2; 1; 1
misc\empty.als; 1; 0; 0; 1
misc\enum\enum1.als; 11; 5; 3; 22
misc\enum\enum2.als; 4; 5; 2; 21
misc\facts\factV1.als; 7; 5; 3; 21
misc\facts\factV2.als; 9; 5; 3; 22
misc\fields\fields1.als; 8; 1; 2; 1
misc\fields\fields2.als; 12; 2; 3; 1
misc\File1.als; 24; 4; 3; 2
misc\File2.als; 24; 4; 4; 2
misc\inheritance\extends1.als; 13; 4; 1; 1
misc\inheritance\extends1v1.als; 9; 2; 2; 1
misc\inheritance\extends1v2.als; 9; 2; 1; 1
misc\inheritance\extends1v3.als; 9; 2; 1; 1
misc\inheritance\extends1_flattened_direct.als; 11; 4; 4; 1
misc\inheritance\extendsWithFieldRestriction.als; 15; 3; 2; 2
misc\inheritance\extendsWithFieldRestriction_flattened.als; 17; 3; 3; 2
misc\inheritance\problemSubset.als; 20; 2; 2; 3
misc\inheritance\problemSubsetInOneQuantification.als; 19; 1; 2; 2
misc\inheritance\sub2merged.als; 26; 4; 4; 3
misc\inheritance\sub2v2.als; 14; 3; 4; 1
misc\inheritance\subset.als; 7; 2; 1; 1
misc\inheritance\subset1.als; 17; 4; 4; 1
misc\multiplicities\b1.als; 17; 3; 1; 1
misc\multiplicities\b1NotB2.als; 17; 2; 1; 3
misc\multiplicities\b1NotB2_alternative.als; 17; 2; 1; 3
misc\multiplicities\b2.als; 11; 3; 1; 2
misc\multiplicities\Bank.als; 5; 2; 1; 1
misc\multiplicities\notB2.als; 14; 2; 1; 2
misc\multiplicities\oneBank.als; 5; 2; 1; 1
misc\multiplicities\tests\fieldTest1v1.als; 6; 2; 1; 1
misc\multiplicities\tests\fieldTest1v2.als; 9; 3; 1; 1
misc\multiplicities\tests\fieldTest2v1.als; 10; 3; 2; 1
misc\multiplicities\tests\fieldTest2v2.als; 11; 3; 2; 1
misc\multiplicities\tests\testSignatureCountv1.als; 9; 2; 1; 2
misc\multiplicities\tests\testSignatureCountv2.als; 8; 2; 1; 1
misc\multiplicities\tests\v2testSignatureCountv1.als; 9; 2; 1; 2
misc\multiplicities\tests\v2testSignatureCountv2.als; 9; 2; 1; 1
misc\one.als; 6; 1; 1; 1
misc\ordering.als; 7; 2; 2; 21
misc\paper\v1.als; 9; 3; 2; 1
misc\paper\v2.als; 15; 3; 2; 3
misc\paper\v3.als; 10; 2; 2; 2
misc\quantification\q1.als; 5; 1; 1; 1
misc\quantification\q2.als; 5; 1; 1; 1
misc\string\string1.als; 1; 0; 0; 1
misc\string\string2.als; 5; 1; 1; 1
misc\string\string3.als; 9; 2; 2; 1
..\models-master\algorithms\discovery\ins.als; 113; 7; 8; 32
..\models-master\algorithms\discovery\INSLabel.als; 147; 13; 10; 12
..\models-master\algorithms\distributed-hashtable\chord.als; 258; 4; 10; 40
..\models-master\algorithms\distributed-hashtable\chord2.als; 273; 4; 10; 43
..\models-master\algorithms\distributed-hashtable\chordbugmodel.als; 231; 4; 8; 18
..\models-master\algorithms\election\stable_ringlead.als; 179; 6; 10; 119
..\models-master\algorithms\election\s_ringlead.als; 152; 4; 8; 92
..\models-master\algorithms\gc\marksweepgc.als; 81; 2; 4; 5
..\models-master\algorithms\mapping\view-backing.als; 215; 14; 12; 59
..\models-master\algorithms\multicasting\iolus.als; 318; 10; 15; 51
..\models-master\algorithms\mutex\dijkstra-2-process.als; 119; 5; 6; 48
..\models-master\algorithms\mutex\dijkstra-K-state.als; 201; 5; 7; 83
..\models-master\algorithms\mutex\peterson.als; 205; 11; 8; 58
..\models-master\algorithms\ring-orientation\stable-orient-ring.als; 89; 6; 10; 74
..\models-master\algorithms\spanning-tree\opt_spantree.als; 219; 6; 8; 89
..\models-master\algorithms\synchronsation\sync.als; 132; 4; 1; 47
..\models-master\ietf-rfcs\rfc7617-BasicAuth\basic-auth.als; 168; 44; 29; 73
..\models-master\logic\syllogism\syllogism.als; 58; 2; 0; 0
..\models-master\models\file-system\file_system.als; 58; 7; 4; 7
..\models-master\models\firewire\firewire.als; 383; 16; 16; 40
..\models-master\models\java\java-map.als; 176; 7; 3; 42
..\models-master\models\java\javatypes.als; 46; 6; 4; 3
..\models-master\models\java\javatypes_soundness.als; 139; 16; 22; 51
..\models-master\models\logic\philosophers.als; 70; 4; 6; 24
..\models-master\models\microsoft-com\com.als; 94; 5; 10; 31
..\models-master\models\transport\railway.als; 63; 4; 5; 9
..\models-master\models\typography\paragraph-numbering.als; 127; 5; 7; 29
..\models-master\paper-examples\jackson-cacm-2019\origin-tracking.als; 72; 7; 6; 6
